colour_code,token
083,ed9ce4f6-4f42-4b8c-a15a-08aa613cefd1
085,be0aae7d-d4e4-4876-9ef0-1d622f848662
1F7,
,,1H5,
1H9,540e1faf-db27-4fb9-bba5-2acc3f4e6c08
1J7,e400f1c7-572b-4777-956a-aeacc4318f9f
1K2,05661525-7b43-4426-ac0f-5d94719c40e5
1L1,0d823b60-6b84-457d-a5ee-0538f4b37a28
1L2,c90cec5f-1298-4a2e-928b-6cd2f4cb2c1a
1L3,fe802593-495d-4484-81ec-d6e62ac8881b
,,1L8,
202,4ab80b77-9ec4-40cc-9537-b3aa0ec5b1a1
,,209,
212,2d19b703-ff73-4d2b-b664-cc87acf03655
223,287c4649-4e62-4ab2-af2f-c18fefe81311
3R1,7ff317cd-fbe6-424b-ace9-7b05dabf934a
3T2,a67c29b9-e25b-42a7-a288-f0676b837b5f
3T5,0231041d-6627-4061-9113-854d7bd05a93
3U3,ba45e819-aeea-4088-941f-5ef0da2864d0
,,3U5,
4X8,bfca4366-c3e5-4a40-8696-2fc675f45b50
4Y1,e48b5aa7-b4c3-41dc-8c7b-7f306f72f24e
,,4Y5,
,,5A3,
5C1,c8d4d33b-2bba-44fc-abe2-5c0912b69c38
6X0,0f9e1b80-ad02-4ba7-a42c-92612b3f5ac5
6X4,78c9d912-d448-49a0-919c-e671b71f1950
,,8W7,
8X1,cc40c447-c897-4dd8-ac1b-f541111fed2c
8X5,8aa2f6b4-2881-4e41-80a0-d9fe71ae0f49
8Y6,a4776a80-837a-469d-85c6-e8756212e526
,,8Z2,